name,artist,year,bpm,energy,dance,dB,liveness,valence,duration,acousticness,speechiness ,pop,genre,mood
Waves - Robin Schulz Radio Edit,Mr. Probz,2014,120,51,83,-9,8,45,208,1,4,79,pop dance,Angry
What Do You Mean?,Justin Bieber,2015,125,57,85,-8,8,79,206,59,10,79,"canadian pop, pop",Happy
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,2011,95,66,72,-6,12,53,207,5,14,79,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",Happy
Angel,Shaggy,2000,171,77,74,-3,4,81,235,12,18,78,"pop rap, reggae fusion",Happy
Astronaut In The Ocean,Masked Wolf,2021,150,70,78,-7,15,47,133,18,9,78,australian hip hop,Angry
Better Off Alone,Alice Deejay,2000,137,88,67,-6,28,79,215,0,6,78,eurodance,Happy
Breaking Me,Topic,2019,122,72,79,-6,13,66,167,22,22,78,"german dance, pop dance, pop edm, uk dance",Happy
Cheating on You,Charlie Puth,2019,123,54,75,-7,10,60,197,1,3,78,"pop, viral pop",Happy
Clint Eastwood,Gorillaz,2001,168,69,66,-9,7,53,341,3,17,78,"alternative hip hop, modern rock, rock",Happy
Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,128,87,62,-4,6,47,235,3,3,78,"dance pop, miami hip hop, pop, pop rap",Angry
Counting Stars,OneRepublic,2014,122,71,66,-5,12,48,258,7,4,78,"piano rock, pop",Angry
"Dear Maria, Count Me In",All Time Low,2007,181,90,46,-3,21,57,183,1,8,78,"modern rock, neon pop punk, pop emo, pop punk",Happy
Diamonds,Rihanna,2012,92,71,56,-5,11,39,225,0,5,78,"barbadian pop, pop, urban contemporary",Angry
Drive,Incubus,1999,91,79,65,-7,12,67,232,6,4,78,"alternative metal, alternative rock, funk metal, funk rock, nu metal, post grunge, rock",Happy
Drop It Like It's Hot,Snoop Dogg,2004,92,63,89,-4,10,66,266,19,22,78,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",Happy
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,2014,120,38,66,-6,10,43,252,39,3,78,"canadian contemporary r&b, canadian pop, pop",Sad
Elastic Heart,Sia,2014,130,79,42,-5,15,50,257,1,5,78,"australian dance, australian pop, pop",Happy
Family Affair,Mary J. Blige,2001,93,55,91,-4,9,97,266,13,4,78,"dance pop, hip pop, neo soul, r&b, urban contemporary",Happy
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,2017,101,75,89,-3,9,87,223,6,6,78,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",Happy
Firestone,Kygo,2016,114,63,70,-7,10,41,272,39,4,78,"edm, pop, pop dance, tropical house",Angry
Get Busy,Sean Paul,2022,100,82,74,-4,16,73,212,61,4,78,"dance pop, dancehall, pop, pop rap",Happy
pop,Drake,2021,87,44,77,-9,14,38,222,18,29,78,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Sad
Glorious (feat. Skylar Grey),Macklemore,2017,140,79,73,-5,11,36,220,3,5,78,"pop rap, seattle hip hop",Angry
Here Without You,3 Doors Down,2002,144,53,56,-7,21,23,239,5,3,78,"alternative metal, nu metal, post grunge, rock",Angry
Here's Your Perfect,Jamie Miller,2021,113,45,56,-5,15,42,159,50,6,78,"pop soul, singer songwriter pop",Sad
I Don't Care (with Justin Bieber),Ed Sheeran,2019,102,68,80,-5,9,84,220,9,4,78,"pop, singer songwriter pop, uk pop",Happy
i hate u i love u (feat. olivia o'brien),gnash,2016,93,28,49,-13,10,18,251,69,30,78,"alt z, pop",Sad
I Miss You,blink-182,2003,110,71,42,-8,9,59,227,0,5,78,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",Happy
Impossible,James Arthur,2013,170,70,38,-5,11,30,209,14,9,78,"pop, talent show, uk pop",Angry
It Will Rain,Bruno Mars,2011,150,84,58,-7,8,48,258,34,5,78,"dance pop, pop",Angry
It's Not Living (If It's Not With You),The 1975,2018,121,84,62,-5,6,53,248,0,3,78,"modern alternative rock, modern rock, pop, pov: indie, rock",Happy
Just Canï¿½ï¿½ï¿½t Get ,Black Eyed Peas,2010,94,63,66,-9,11,26,219,19,18,78,"dance pop, pop, pop rap",Angry
La Tortura (feat. Alejandro Sanz),Shakira,2005,100,78,74,-5,12,81,213,3,4,78,"colombian pop, dance pop, latin pop, pop",Happy
Lady - Hear Me Tonight,Modjo,2001,126,81,72,-6,6,87,307,1,4,78,"disco house, filter house",Happy
Lantas,Juicy Luicy,2020,86,31,59,-8,35,55,234,79,3,78,indonesian pop,Calm
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Major Lazer,2015,98,81,72,-3,56,27,177,0,6,78,"dance pop, edm, electro house, moombahton, pop, pop dance",Angry
Life Goes On,BTS,2020,81,72,57,-6,37,45,207,1,4,78,"k pop, k pop boy group, pop",Angry
Life Goes On,Oliver Tree,2021,80,49,70,-5,12,57,162,19,8,78,alternative hip hop,Calm
Love Me Again,John Newman,2013,126,89,50,-5,10,21,240,0,4,78,dance pop,Angry
Malibu,Miley Cyrus,2017,140,78,57,-6,8,34,232,8,6,78,pop,Angry
Mambo No. 5 (a Little Bit of...),Lou Bega,1999,174,81,62,-7,31,89,220,10,41,78,latin pop,Happy
Me & U,Cassie,2006,100,45,80,-5,7,74,192,35,3,78,"dance pop, hip pop, pop rap, r&b, urban contemporary",Calm
"Me, Myself & I",G-Eazy,2015,112,67,76,-7,16,39,251,2,10,78,"indie pop rap, oakland hip hop, pop rap, rap",Angry
house,Flo Rida,2015,94,70,69,-5,13,74,192,2,5,78,"dance pop, miami hip hop, pop, pop rap",Happy
On Top Of The World,Imagine Dragons,2012,100,92,63,-6,8,76,192,8,15,78,"modern rock, pop, rock",Happy
One More Night,Maroon 5,2012,93,82,72,-3,8,62,220,6,3,78,pop,Happy
dance,BTS,2021,125,74,70,-5,34,65,188,1,4,78,"k pop, k pop boy group, pop",Happy
Physical,Dua Lipa,2020,147,84,65,-4,10,75,194,1,5,78,"dance pop, pop, uk pop",Happy
Piece Of Your Heart,MEDUZA,2019,124,74,68,-7,7,63,153,4,3,78,"edm, pop dance, pop house, uk dance",Happy
Problem,Ariana Grande,2014,103,81,66,-5,16,63,194,2,15,78,pop,Happy
Pump It,Black Eyed Peas,2005,154,93,65,-3,75,74,213,1,18,78,"dance pop, pop, pop rap",Happy
Replay,Iyaz,2009,91,75,71,-6,17,20,182,17,7,78,"dance pop, pop rap, post teen pop",Angry
Right Round,Flo Rida,2009,125,67,72,-7,23,71,205,1,6,78,"dance pop, miami hip hop, pop, pop rap",Happy
rock,Justin Timberlake,2002,101,71,89,-6,5,82,267,20,14,78,"dance pop, pop",Happy
ROXANNE,Arizona Zervas,2019,117,60,62,-6,46,46,164,5,15,78,"indie pop rap, pop rap, rhode island rap",Angry
17,MK,2017,122,83,70,-7,7,67,196,0,7,65,"house, pop dance",Happy
Side To Side,Ariana Grande,2016,159,74,65,-6,24,61,226,5,23,78,pop,Happy
Sk8er Boi,Avril Lavigne,2002,150,90,49,-4,36,48,204,0,5,78,"canadian pop, candy pop, dance pop, pop",Angry
SOS,Rihanna,2006,137,67,68,-5,41,53,239,0,4,78,"barbadian pop, pop, urban contemporary",Happy
Take A Bow,Rihanna,2008,82,47,70,-8,9,57,229,25,7,78,"barbadian pop, pop, urban contemporary",Calm
Taki Taki (with Selena Gomez & Ozuna & Cardi B),DJ Snake,2018,96,80,84,-4,6,62,213,16,23,78,"dance pop, edm, electronic trap, pop, pop dance",Happy
The Kill,Thirty Seconds To Mars,2005,183,91,18,-4,58,29,232,0,8,78,"modern rock, post grunge",Angry
Unwritten,Natasha Bedingfield,2004,100,80,71,-6,8,63,259,1,4,78,"dance pop, pop, post teen pop",Happy
Use Somebody,Kings of Leon,2008,137,72,28,-5,20,17,231,1,4,78,"modern rock, rock",Angry
Video Games,Lana Del Rey,2012,73,25,24,-10,9,18,282,81,3,78,"art pop, pop",Sad
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2010,127,87,76,-6,7,75,203,1,15,78,"colombian pop, dance pop, latin pop, pop",Happy
We Are Young (feat. Janelle Monï¿½ï,fun.,2012,184,64,38,-6,8,74,251,2,8,78,"baroque pop, metropopolis",Happy
When You Were Young,The Killers,2006,130,99,47,-3,28,32,220,0,11,78,"alternative rock, dance rock, modern rock, permanent wave, rock",Angry
Who Says,Selena Gomez & The Scene,2011,101,93,68,-3,15,74,196,8,5,78,pop,Happy
Womanizer,Britney Spears,2008,139,70,72,-5,9,24,224,7,6,78,"dance pop, pop",Angry
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016,105,59,80,-6,6,59,214,10,4,78,"girl group, pop, talent show",Happy
1-800-273-8255,Logic,2017,100,57,62,-8,19,36,250,57,5,77,"conscious hip hop, hip hop, pop rap, rap",Angry
21 Questions,50 Cent,2003,93,81,65,-4,4,90,224,35,30,77,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",Happy
3 Nights,Dominic Fike,2018,152,52,82,-7,10,88,178,22,9,77,"alternative pop rock, pov: indie",Happy
Are You With Me,Lost Frequencies,2016,121,61,76,-8,12,39,138,26,4,77,"belgian edm, edm, pop dance, tropical house",Angry
pop,Aqua,1997,130,88,81,-11,37,96,198,2,4,77,"bubblegum dance, eurodance, europop",Happy
Beauty And A Beat,Justin Bieber,2012,128,84,60,-5,7,53,228,0,6,77,"canadian pop, pop",Happy
Best of You,Foo Fighters,2005,130,94,37,-5,19,37,256,0,7,77,"alternative metal, alternative rock, modern rock, permanent wave, post grunge, rock",Angry
Bleeding Love,Leona Lewis,2007,104,66,64,-6,15,23,262,19,4,77,"british soul, dance pop, pop, talent show",Angry
Blurred Lines,Robin Thicke,2013,120,60,85,-5,8,84,264,0,4,77,"dance pop, neo soul, pop rap, r&b, urban contemporary",Happy
Body,Loud Luxury,2017,122,76,75,-4,5,58,163,5,4,77,"edm, pop dance",Happy
Break Your Heart,Taio Cruz,2010,122,93,61,-4,9,57,202,3,3,77,"dance pop, pop, pop rap",Happy
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,2007,80,55,69,-8,7,61,228,1,12,77,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary",Happy
By the Way,Red Hot Chili Peppers,2002,122,97,45,-5,10,20,217,3,11,77,"alternative rock, funk metal, funk rock, permanent wave, rock",Angry
California Gurls,Katy Perry,2012,125,75,79,-4,16,43,235,0,6,77,pop,Angry
Call on Me - Radio Mix,Eric Prydz,2004,126,84,60,-7,84,45,171,0,38,77,"edm, electro house, house, pop dance, progressive house",Angry
Can't Get You out of My Head,Kylie Minogue,2001,126,56,77,-8,12,96,231,3,3,77,"australian dance, australian pop, dance pop, eurodance, new wave pop",Happy
Cooler Than Me - Single Mix,Mike Posner,2010,130,82,77,-5,69,63,213,18,5,77,"dance pop, pop, pop dance, pop rap",Happy
dance,Tones And I,2021,98,59,82,-6,15,51,209,69,9,77,australian pop,Happy
DARE,Gorillaz,2005,120,89,76,-6,30,97,245,2,4,77,"alternative hip hop, modern rock, rock",Happy
Eastside (with Halsey & Khalid),benny blanco,2018,89,68,56,-8,12,32,174,56,32,77,pop,Angry
Envolver,Anitta,2021,92,74,81,-5,9,40,194,15,8,77,"funk pop, funk rj, pagode baiano, pop, pop nacional",Angry
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",rock,2013,96,69,85,-7,11,66,234,2,28,77,"east coast hip hop, hip hop, rap, trap",Happy
Face Down,The Red Jumpsuit Apparatus,2006,93,93,55,-2,13,46,192,0,4,77,"alternative metal, neon pop punk, pop punk, post grunge, screamo",Angry
Firework,Katy Perry,2010,124,83,64,-5,11,65,228,14,5,77,pop,Happy
Halo,Beyoncï¿,2008,80,72,51,-6,6,47,262,27,6,77,"pop, r&b",Angry
Hear Me Now,Alok,2016,122,46,78,-8,7,50,195,55,4,77,"electro house, pop nacional, slap house",Calm
Hello,Adele,2015,79,43,58,-6,9,29,296,33,3,77,"british soul, pop, pop soul, uk pop",Sad
Higher Love,Kygo,2019,104,68,69,-7,10,40,228,2,3,77,"edm, pop, pop dance, tropical house",Angry
Hot In Herre,Nelly,2002,107,75,96,-5,6,91,228,21,12,77,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",Happy
Human,The Killers,2008,135,80,56,-8,9,58,245,0,6,77,"alternative rock, dance rock, modern rock, permanent wave, rock",Happy
Hung Up,Madonna,2005,125,65,65,-8,7,41,338,0,5,77,"dance pop, pop",Angry
ily (i love you baby) (feat. Emilee),Surf Mesa,2019,112,77,67,-8,39,33,177,7,9,77,pop edm,Angry
In My Feelings,Drake,2018,91,63,84,-6,40,35,218,6,13,77,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Angry
In The Night,The Weeknd,2015,168,68,51,-5,5,54,236,8,7,77,"canadian contemporary r&b, canadian pop, pop",Happy
In Too Deep,Sum 41,2001,116,84,57,-6,6,77,207,0,5,77,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post grunge, punk, rock",Happy
Intentions (feat. Quavo),Justin Bieber,2020,148,55,81,-7,10,87,213,30,6,77,"canadian pop, pop",Happy
International Love (feat. Chris Brown),Pitbull,2011,120,86,67,-3,34,65,227,1,5,77,"dance pop, miami hip hop, pop",Happy
Jealous,Labrinth,2014,117,15,44,-9,11,10,288,87,5,77,"indie poptimism, pop",Sad
Let Me Blow Ya Mind,Eve,2001,90,56,91,-4,7,90,230,24,11,77,"contemporary r&b, dance pop, hip pop, philly rap, r&b, urban contemporary",Happy
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017,103,71,66,-4,8,74,175,3,5,77,pop,Happy
Live Your Life,T.I.,2008,160,86,38,-3,21,48,339,7,26,77,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",Angry
Losin Control,Russ,2017,97,25,76,-7,10,21,238,52,14,77,"hawaiian hip hop, pop rap",Sad
Love On Top,Beyoncï¿,2011,94,75,65,-5,60,65,267,8,9,77,"pop, r&b",Happy
Low Life (feat. The Weeknd),Future,2016,144,33,72,-8,15,10,314,34,7,77,"atl hip hop, hip hop, rap, southern hip hop, trap",Sad
Middle,DJ Snake,2016,105,70,58,-5,5,22,221,1,4,77,"dance pop, edm, electronic trap, pop, pop dance",Angry
MONTERO (Call Me By Your Name),Lil Nas X,2021,179,51,61,-7,38,76,138,30,15,77,lgbtq+ hip hop,Happy
Nevermind,Dennis Lloyd,2017,100,69,60,-8,41,8,157,16,20,77,israeli pop,Angry
Nights Like This (feat. Ty Dolla $ign),Kehlani,2019,146,73,61,-5,15,29,202,37,15,77,"pop, r&b, rap",Angry
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,2010,131,60,76,-6,24,36,264,1,4,77,"atl hip hop, dirty south rap, pop rap, rap, southern hip hop, trap",Angry
Paris,The Chainsmokers,2017,100,66,65,-6,9,22,222,2,3,77,pop,Angry
Part Of Me,Katy Perry,2012,130,92,68,-5,7,77,216,0,4,77,pop,Happy
Perfect Strangers,Jonas Blue,2018,118,86,73,-4,21,70,197,39,5,77,"pop, pop dance, tropical house, uk dance",Happy
Pompeii,Bastille,2013,127,72,68,-6,27,57,214,8,4,77,"metropopolis, modern rock, pop",Happy
Price Tag,Jessie J,2011,175,83,64,-4,27,67,223,3,18,77,"dance pop, pop",Happy
Renegades,X Ambassadors,2015,90,86,53,-6,23,53,195,1,9,77,"modern alternative rock, modern rock, stomp pop",Happy
Reptilia,The Strokes,2003,158,65,49,-5,10,77,220,0,3,77,"alternative rock, garage rock, modern rock, permanent wave, rock",Happy
Ride Wit Me,Nelly,2000,102,70,85,-6,24,72,292,6,5,77,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",Happy
Runaway (U & I),Galantis,2015,126,81,51,-4,9,38,227,1,5,77,"dance pop, edm, pop, pop dance",Angry
Savage Love (Laxed - Siren Beat),Jawsh 685,2020,150,48,77,-9,27,76,171,23,8,77,nz pop,Calm
Say It,Tory Lanez,2016,107,53,55,-11,12,25,238,9,6,77,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",Angry
Secrets,OneRepublic,2009,148,76,52,-6,12,38,225,7,4,77,"piano rock, pop",Angry
She Wolf,Shakira,2009,122,69,87,-7,23,87,189,28,4,77,"colombian pop, dance pop, latin pop, pop",Happy
Slow Hands,Niall Horan,2017,86,43,74,-7,6,85,188,1,5,77,pop,Calm
Smooth Criminal,Alien Ant Farm,2001,127,96,65,-4,14,87,209,0,6,77,"alternative metal, funk metal, nu metal, post grunge",Happy
Snowman,Sia,2018,105,51,72,-6,9,33,166,48,3,77,"australian dance, australian pop, pop",Angry
Stir Fry,Migos,2018,182,82,82,-5,16,51,190,0,27,77,"atl hip hop, hip hop, pop rap, rap, trap",Happy
Stole the Show,Kygo,2016,100,64,64,-8,32,48,223,27,23,77,"edm, pop, pop dance, tropical house",Angry
Stronger (What Doesn't Kill You),Kelly Clarkson,2011,116,94,56,-4,11,68,222,5,5,77,"dance pop, pop, talent show",Happy
Sucker for Pain (with Wiz Khalifa & Imagine Dragons & Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,2016,169,79,50,-4,65,74,243,26,32,77,"hip hop, new orleans rap, pop rap, rap, trap",Happy
Sunday Best,Surfaces,2019,112,53,88,-7,7,69,159,18,6,77,bedroom soul,Happy
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017,98,82,70,-4,19,78,216,8,11,77,"dance pop, pop",Happy
Take Care,Drake,2011,122,52,63,-10,9,30,277,3,27,77,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Angry
Take You Dancing,Jason Derulo,2020,113,71,79,-4,9,75,190,3,4,77,"dance pop, pop",Happy
Talking to the Moon,Bruno Mars,2010,146,59,50,-5,11,8,218,51,3,77,"dance pop, pop",Angry
The Climb,Miley Cyrus,2009,161,60,34,-6,14,30,235,6,3,77,pop,Angry
Vaina Loca,Ozuna,2018,94,81,75,-4,20,56,176,32,8,77,"puerto rican pop, reggaeton, trap latino, urbano latino",Happy
We Are Never Ever Getting Back Together,Taylor Swift,2012,86,68,63,-6,12,75,193,1,9,77,pop,Happy
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2017,98,67,67,-3,12,63,204,3,7,77,"hip hop, miami hip hop, pop rap, rap",Happy
Without Me,Halsey,2018,136,49,75,-7,9,53,202,30,7,77,"electropop, etherpop, indie poptimism, pop",Calm
Airplanes (feat. Hayley Williams of Paramore),B.o.B,2010,93,87,66,-4,4,38,180,11,12,76,"atl hip hop, dance pop, pop rap, rap, southern hip hop",Angry
Bad Day,Daniel Powter,2005,140,79,60,-4,15,52,234,45,3,76,"canadian pop, neo mellow, pop rock",Happy
Beautiful Day,U2,2000,136,93,54,-6,20,39,248,2,6,76,"irish rock, permanent wave, rock",Angry
Beautiful People (feat. Khalid),Ed Sheeran,2019,93,65,64,-8,8,55,198,12,19,76,"pop, singer songwriter pop, uk pop",Happy
Because Of You,Ne-Yo,2007,110,54,81,-6,10,83,267,53,4,76,"dance pop, pop, r&b, urban contemporary",Happy
Behind Blue Eyes,Limp Bizkit,2003,120,49,60,-7,12,9,270,50,3,76,"alternative metal, funk metal, nu metal, post grunge, rap metal, rock",Sad
Chasing Pavements,Adele,2008,80,47,62,-6,11,33,211,29,3,76,"british soul, pop, pop soul, uk pop",Sad
Circus,Britney Spears,2008,115,73,79,-5,7,76,192,15,5,76,"dance pop, pop",Happy
Cleanin' Out My Closet,Eminem,2002,148,76,91,-5,8,87,298,7,17,76,"detroit hip hop, hip hop, rap",Happy
soul,soul,2007,140,74,74,-2,5,80,222,52,8,76,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap",Happy
Cry Me a River,Justin Timberlake,2002,74,65,62,-7,10,56,288,58,18,76,"dance pop, pop",Happy
Dancing With A Stranger (with Normani),Sam Smith,2019,103,52,74,-8,22,35,171,45,7,76,"pop, uk pop",Angry
Dangerous Woman,Ariana Grande,2016,134,60,66,-5,36,29,236,5,4,76,pop,Angry
Destination Calabria - Radio Edit,Alex Gaudino,2007,128,95,63,-5,29,31,223,0,4,76,"disco house, vocal house",Angry
Domino,Jessie J,2011,127,56,76,-5,4,78,232,1,3,76,"dance pop, pop",Happy
Eenie Meenie,Sean Kingston,2010,121,61,72,-4,11,83,202,5,3,76,"dance pop, miami hip hop, pop",Happy
Fast Car,Jonas Blue,2018,114,58,67,-7,31,55,212,47,6,76,"pop, pop dance, tropical house, uk dance",Happy
Fat Lip,Sum 41,2001,197,91,40,-5,7,63,178,0,14,76,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post grunge, punk, rock",Happy
Habits (Stay High),Tove Lo,2014,110,65,73,-4,8,35,209,7,3,76,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop",Angry
History,One Direction,2015,87,70,66,-4,6,80,187,4,5,76,"boy band, pop, post teen pop, talent show",Happy
"Hold On, We're Going Home",Drake,2013,100,41,77,-7,7,29,228,0,10,76,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Sad
I Don't Fuck With You,Big Sean,2015,98,73,82,-5,33,40,284,4,6,76,"detroit hip hop, hip hop, pop rap, r&b, rap, trap",Angry
I Hate Everything About You,Three Days Grace,2003,89,83,50,-5,14,45,231,0,4,76,"alternative metal, canadian metal, canadian rock, nu metal, post grunge, rock",Angry
i'm so tired...,Lauv,2020,101,74,55,-8,20,50,163,17,24,76,pop,Happy
Infinity 2008 - Klaas Vocal Edit,Guru Josh Project,2008,128,86,50,-6,35,47,192,0,6,76,acid house,Angry
Just A Dream,Nelly,2010,90,75,53,-6,12,10,238,4,3,76,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",Angry
King Kunta,Kendrick Lamar,2015,107,66,88,-5,15,49,235,1,10,76,"conscious hip hop, hip hop, rap, west coast rap",Angry
L'Amour Toujours,Gigi D'Agostino,2001,139,88,64,-4,36,74,242,8,3,76,"eurodance, italo dance",Happy
Last Friday Night (T.G.I.F.),Katy Perry,2012,126,82,65,-4,67,77,231,0,4,76,pop,Happy
Latch,Disclosure,2013,122,73,50,-5,9,52,256,2,17,76,"edm, house, indietronica, uk dance",Happy
Let Me Love You,Mario,2004,95,58,66,-9,12,56,257,24,9,76,"dance pop, r&b, southern hip hop, urban contemporary",Happy
Levitating (feat. DaBaby),Dua Lipa,2020,103,83,70,-4,7,92,203,1,6,76,"dance pop, pop, uk pop",Happy
Like A G6,Far East Movement,2010,125,84,44,-8,12,78,217,1,45,76,"asian american hip hop, dance pop, pop rap",Happy
Little Do You Know,Alex & Sierra,2014,146,29,50,-9,19,37,185,75,3,76,"pop, post teen pop",Sad
Little Things,One Direction,2012,110,22,71,-12,18,53,219,81,3,76,"boy band, pop, post teen pop, talent show",Calm
Live While We're Young,One Direction,2012,126,86,66,-2,14,93,200,5,5,76,"boy band, pop, post teen pop, talent show",Happy
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2019,192,76,69,-3,10,37,185,28,22,76,"dance pop, edm, electronic trap, pop, pop dance",Angry
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2017,154,78,64,-6,8,58,164,5,9,76,"dance pop, pop",Happy
Mine,Bazzi,2018,143,79,71,-4,45,72,131,2,7,76,pop,Happy
Misery Business,Paramore,2007,173,91,52,-4,11,73,212,0,7,76,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",Happy
No One,Alicia Keys,2007,90,55,64,-5,13,17,254,2,3,76,"neo soul, pop, r&b",Angry
Nothin' on You (feat. Bruno Mars),B.o.B,2010,104,85,69,-6,9,74,268,39,5,76,"atl hip hop, dance pop, pop rap, rap, southern hip hop",Happy
One Call Away,Charlie Puth,2016,91,61,67,-5,12,47,194,40,3,76,"pop, viral pop",Angry
Paralyzer,Finger Eleven,2007,106,94,64,-3,23,86,208,16,5,76,"alternative metal, canadian rock, funk metal, nu metal, post grunge",Happy
Plain Jane,A$AP Ferg,2017,170,84,80,-5,9,52,174,7,28,76,"hip hop, pop rap, rap, southern hip hop, trap",Happy
pov,Ariana Grande,2020,132,53,49,-6,10,17,202,36,6,76,pop,Angry
Rain On Me (with Ariana Grande),Lady Gaga,2020,123,86,67,-4,32,65,182,2,4,76,"art pop, dance pop, pop",Happy
rock,Clean Bandit,2016,102,76,72,-4,18,74,251,41,5,76,"pop, uk dance, uk funky",Happy
Roses,The Chainsmokers,2015,100,80,71,-7,31,34,227,4,6,76,pop,Angry
Shake That,Eminem,2005,107,64,96,-6,16,53,274,5,12,76,"detroit hip hop, hip hop, rap",Happy
Shout Out to My Ex,Little Mix,2016,126,75,77,-4,11,80,246,2,9,76,"girl group, pop, talent show, uk pop",Happy
Somebody Else,The 1975,2016,101,79,62,-6,13,46,348,20,6,76,"modern alternative rock, modern rock, pop, pov: indie, rock",Angry
Stacy's Mom,Fountains Of Wayne,2003,118,75,77,-5,8,93,198,0,4,76,"pop rock, power pop",Happy
Take A Look Around,Limp Bizkit,2000,102,85,43,-6,9,51,321,2,5,76,"alternative metal, funk metal, nu metal, post grunge, rap metal, rock",Happy
The A Team,Ed Sheeran,2011,85,29,64,-10,18,41,258,67,4,76,"pop, singer songwriter pop, uk pop",Sad
The Heart Wants What It Wants,Selena Gomez,2014,83,79,62,-5,14,62,227,5,4,76,"pop, post teen pop",Happy
The Motto,Drake,2011,202,44,77,-9,11,39,182,0,36,76,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Sad
Too Good,Drake,2016,118,65,79,-8,10,40,263,5,10,76,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Angry
Troublemaker (feat. Flo Rida),Olly Murs,2012,106,86,76,-4,13,97,186,2,6,76,"dance pop, pop, talent show, uk pop",Happy
Under Control (feat. Hurts),Calvin Harris,2014,126,92,54,-3,12,51,184,13,8,76,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",Happy
Walk It Talk It,Migos,2018,146,63,91,-5,11,40,276,9,18,76,"atl hip hop, hip hop, pop rap, rap, trap",Angry
Want to Want Me,Jason Derulo,2015,114,68,78,-6,11,66,208,1,6,76,"dance pop, pop",Happy
Where Have You Been,Rihanna,2011,128,85,72,-6,22,44,243,0,9,76,"barbadian pop, pop, urban contemporary",Angry
Who Knew,P!nk,2006,140,73,69,-5,8,46,208,0,3,76,"dance pop, pop",Angry
With You,Chris Brown,2007,86,69,66,-4,14,66,252,13,7,76,"r&b, rap",Happy
X,Nicky Jam,2019,180,75,59,-5,30,69,173,3,6,76,"latin hip hop, reggaeton, trap latino, urbano latino",Happy
Your Power,Billie Eilish,2021,130,28,63,-14,23,21,246,93,8,76,"art pop, pop",Sad
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,2009,113,93,75,-5,23,77,190,1,7,75,"dance pop, pop",Happy
Adan y Eva,Paulo Londra,2019,172,71,77,-4,7,72,257,32,34,75,"argentine hip hop, trap argentino, trap latino, urbano latino",Happy
Ain't It Fun,Paramore,2013,104,89,61,-4,2,67,297,15,9,75,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",Happy
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,2018,118,57,78,-7,7,48,186,67,3,75,"edm, german dance, pop dance, tropical house",Angry
All Summer Long,rock,2007,103,86,70,-4,10,89,298,2,3,75,nu metal,Happy
Apologize,OneRepublic,2007,118,74,59,-6,10,50,208,36,3,75,"piano rock, pop",Happy
Ayo,Chris Brown,2015,98,56,82,-5,9,68,225,4,4,75,"r&b, rap",Happy
